split,hourly_threshold_mm,product,rank,model,CSI,HSS,POD,FAR,frequency_bias,observed_events
development_2023_2025,1.0,cadence_aware_episode,3,GFS_GLOBAL,0.0861,,0.1916,0.8649,1.41762,522
development_2023_2025,1.0,cadence_aware_episode,4,GEM_GLOBAL,0.0859,,0.1166,0.754,0.47419,523
development_2023_2025,1.0,cadence_aware_episode,5,UKMO_GLOBAL_10KM,0.0827,,0.1797,0.8672,1.35373,523
development_2023_2025,1.0,cadence_aware_episode,6,METEOFRANCE_ARPEGE_WORLD,0.0788,,0.1453,0.8533,0.99044,523
development_2023_2025,1.0,cadence_aware_episode,7,JMA_GSM,0.0322,,0.0363,0.7791,0.16444,523
development_2023_2025,1.0,cadence_aware_episode,8,ECMWF_HRES,0.0055,,0.0057,0.8846,0.04971,523
development_2023_2025,1.0,complete_3h_rate_equivalent,1,GFS_GLOBAL,0.1042,0.1387,0.2286,0.8392,1.42143,420
development_2023_2025,1.0,complete_3h_rate_equivalent,2,METEOFRANCE_ARPEGE_WORLD,0.1011,0.1344,0.2141,0.8392,1.33176,425
development_2023_2025,1.0,complete_3h_rate_equivalent,3,GEM_GLOBAL,0.0824,0.11,0.1459,0.8406,0.91529,425
development_2023_2025,1.0,complete_3h_rate_equivalent,4,CMA_GRAPES_GLOBAL,0.0727,0.0855,0.1506,0.8767,1.22118,425
development_2023_2025,1.0,complete_3h_rate_equivalent,5,ICON_SEAMLESS,0.0723,0.0963,0.1176,0.8423,0.74588,425
development_2023_2025,1.0,complete_3h_rate_equivalent,6,UKMO_GLOBAL_10KM,0.0658,0.0753,0.1294,0.882,1.09647,425
development_2023_2025,1.0,complete_3h_rate_equivalent,7,JMA_GSM,0.0538,0.0705,0.0776,0.8507,0.52,425
development_2023_2025,1.0,complete_3h_rate_equivalent,8,ECMWF_HRES,0.0088,0.0106,0.0094,0.875,0.07529,425
development_2023_2025,1.0,complete_3h_same_numeric,1,ICON_SEAMLESS,0.1461,0.1812,0.3113,0.784,1.44172,652
development_2023_2025,1.0,complete_3h_same_numeric,2,METEOFRANCE_ARPEGE_WORLD,0.1457,0.1738,0.3512,0.8007,1.76227,652
development_2023_2025,1.0,complete_3h_same_numeric,3,GFS_GLOBAL,0.1391,0.1555,0.396,0.8234,2.24224,644
development_2023_2025,1.0,complete_3h_same_numeric,4,GEM_GLOBAL,0.1204,0.144,0.2347,0.8018,1.18405,652
development_2023_2025,1.0,complete_3h_same_numeric,5,UKMO_GLOBAL_10KM,0.1123,0.1223,0.2485,0.83,1.46166,652
development_2023_2025,1.0,complete_3h_same_numeric,6,CMA_GRAPES_GLOBAL,0.1095,0.1168,0.2454,0.8349,1.4862,652
development_2023_2025,1.0,complete_3h_same_numeric,7,JMA_GSM,0.0951,0.1023,0.181,0.8331,1.08436,652
development_2023_2025,1.0,complete_3h_same_numeric,8,ECMWF_HRES,0.0169,0.0192,0.0184,0.8235,0.10429,652
development_2023_2025,1.0,episode_pm1h,1,ICON_SEAMLESS,0.0869,,0.153,0.8326,0.91396,523
development_2023_2025,1.0,episode_pm1h,2,GFS_GLOBAL,0.0861,,0.1916,0.8649,1.41762,522
development_2023_2025,1.0,episode_pm1h,3,UKMO_GLOBAL_10KM,0.0827,,0.1797,0.8672,1.35373,523
development_2023_2025,1.0,episode_pm1h,4,METEOFRANCE_ARPEGE_WORLD,0.0788,,0.1453,0.8533,0.99044,523
development_2023_2025,1.0,episode_pm1h,5,CMA_GRAPES_GLOBAL,0.0618,,0.0994,0.8595,0.70746,523
development_2023_2025,1.0,episode_pm1h,6,GEM_GLOBAL,0.0518,,0.0727,0.8468,0.47419,523
development_2023_2025,1.0,episode_pm1h,7,JMA_GSM,0.0218,,0.0249,0.8488,0.16444,523
development_2023_2025,1.0,episode_pm1h,8,ECMWF_HRES,0.0055,,0.0057,0.8846,0.04971,523
development_2023_2025,1.0,episode_pm2h,1,ICON_SEAMLESS,0.1375,,0.2314,0.7469,0.91396,523
development_2023_2025,1.0,episode_pm2h,2,GFS_GLOBAL,0.1288,,0.2759,0.8054,1.41762,522
development_2023_2025,1.0,episode_pm2h,3,UKMO_GLOBAL_10KM,0.1232,,0.2581,0.8093,1.35373,523
development_2023_2025,1.0,episode_pm2h,4,METEOFRANCE_ARPEGE_WORLD,0.1206,,0.2141,0.7838,0.99044,523
development_2023_2025,1.0,episode_pm2h,5,CMA_GRAPES_GLOBAL,0.1011,,0.1568,0.7784,0.70746,523
development_2023_2025,1.0,episode_pm2h,6,GEM_GLOBAL,0.0859,,0.1166,0.754,0.47419,523
development_2023_2025,1.0,episode_pm2h,7,JMA_GSM,0.0322,,0.0363,0.7791,0.16444,523
development_2023_2025,1.0,episode_pm2h,8,ECMWF_HRES,0.0073,,0.0076,0.8462,0.04971,523
development_2023_2025,1.0,strict_hourly,1,GFS_GLOBAL,0.0821,0.1104,0.2547,0.892,2.35849,848
development_2023_2025,1.0,strict_hourly,2,METEOFRANCE_ARPEGE_WORLD,0.0762,0.1014,0.2181,0.8951,2.07855,853
development_2023_2025,1.0,strict_hourly,3,ICON_SEAMLESS,0.0752,0.1059,0.1641,0.878,1.34584,853
development_2023_2025,1.0,strict_hourly,4,GEM_GLOBAL,0.0737,0.1029,0.163,0.8813,1.3728,853
development_2023_2025,1.0,strict_hourly,5,CMA_GRAPES_GLOBAL,0.0602,0.0739,0.1606,0.9122,1.82884,853
development_2023_2025,1.0,strict_hourly,6,JMA_GSM,0.0476,0.0636,0.0809,0.8964,0.78077,853
development_2023_2025,1.0,strict_hourly,7,UKMO_GLOBAL_10KM,0.0471,0.0531,0.109,0.9235,1.42438,853
development_2023_2025,1.0,strict_hourly,8,ECMWF_HRES,0.0096,0.0122,0.0106,0.9082,0.11489,853
development_2023_2025,1.5,cadence_aware_episode,1,GFS_GLOBAL,0.0759,,0.1444,0.8619,1.04595,457
development_2023_2025,1.5,cadence_aware_episode,2,CMA_GRAPES_GLOBAL,0.071,,0.1004,0.8051,0.51528,458
development_2023_2025,1.5,cadence_aware_episode,3,METEOFRANCE_ARPEGE_WORLD,0.068,,0.1135,0.8552,0.78384,458
development_2023_2025,1.5,cadence_aware_episode,4,UKMO_GLOBAL_10KM,0.0667,,0.1376,0.8852,1.19869,458
development_2023_2025,1.5,cadence_aware_episode,5,GEM_GLOBAL,0.0607,,0.0764,0.7727,0.33624,458
development_2023_2025,1.5,cadence_aware_episode,6,ICON_SEAMLESS,0.047,,0.0742,0.8863,0.65284,458
development_2023_2025,1.5,cadence_aware_episode,7,JMA_GSM,0.0144,,0.0153,0.8,0.07642,458
development_2023_2025,1.5,cadence_aware_episode,8,ECMWF_HRES,0.0042,,0.0044,0.8824,0.03712,458
development_2023_2025,1.5,complete_3h_rate_equivalent,1,METEOFRANCE_ARPEGE_WORLD,0.0769,0.1085,0.1395,0.8536,0.95252,337
development_2023_2025,1.5,complete_3h_rate_equivalent,2,GFS_GLOBAL,0.0708,0.1004,0.1205,0.8535,0.82229,332
development_2023_2025,1.5,complete_3h_rate_equivalent,3,GEM_GLOBAL,0.0565,0.0779,0.089,0.8661,0.66469,337
development_2023_2025,1.5,complete_3h_rate_equivalent,4,CMA_GRAPES_GLOBAL,0.0536,0.0676,0.095,0.8904,0.86647,337
development_2023_2025,1.5,complete_3h_rate_equivalent,5,UKMO_GLOBAL_10KM,0.0518,0.0643,0.092,0.8938,0.86647,337
development_2023_2025,1.5,complete_3h_rate_equivalent,6,ICON_SEAMLESS,0.036,0.0492,0.0475,0.871,0.36795,337
development_2023_2025,1.5,complete_3h_rate_equivalent,7,JMA_GSM,0.0218,0.0274,0.0267,0.8929,0.24926,337
development_2023_2025,1.5,complete_3h_rate_equivalent,8,ECMWF_HRES,0.0056,0.0071,0.0059,0.8947,0.05638,337
development_2023_2025,1.5,complete_3h_same_numeric,1,METEOFRANCE_ARPEGE_WORLD,0.1347,0.1679,0.3221,0.812,1.71327,565
development_2023_2025,1.5,complete_3h_same_numeric,2,GFS_GLOBAL,0.1339,0.1616,0.3614,0.8247,2.06082,559
development_2023_2025,1.5,complete_3h_same_numeric,3,ICON_SEAMLESS,0.1284,0.1654,0.2602,0.7978,1.28673,565
development_2023_2025,1.5,complete_3h_same_numeric,4,GEM_GLOBAL,0.1106,0.1368,0.2195,0.8176,1.20354,565
development_2023_2025,1.5,complete_3h_same_numeric,5,CMA_GRAPES_GLOBAL,0.1067,0.1221,0.246,0.8415,1.55221,565
development_2023_2025,1.5,complete_3h_same_numeric,6,UKMO_GLOBAL_10KM,0.1007,0.115,0.2177,0.8423,1.38053,565
development_2023_2025,1.5,complete_3h_same_numeric,7,JMA_GSM,0.0873,0.101,0.1611,0.8398,1.00531,565
development_2023_2025,1.5,complete_3h_same_numeric,8,ECMWF_HRES,0.0146,0.0163,0.0159,0.85,0.10619,565
development_2023_2025,1.5,episode_pm1h,1,GFS_GLOBAL,0.0759,,0.1444,0.8619,1.04595,457
development_2023_2025,1.5,episode_pm1h,2,METEOFRANCE_ARPEGE_WORLD,0.068,,0.1135,0.8552,0.78384,458
development_2023_2025,1.5,episode_pm1h,3,UKMO_GLOBAL_10KM,0.0667,,0.1376,0.8852,1.19869,458
development_2023_2025,1.5,episode_pm1h,4,ICON_SEAMLESS,0.047,,0.0742,0.8863,0.65284,458
development_2023_2025,1.5,episode_pm1h,5,CMA_GRAPES_GLOBAL,0.0436,,0.0633,0.8771,0.51528,458
development_2023_2025,1.5,episode_pm1h,6,GEM_GLOBAL,0.0373,,0.048,0.8571,0.33624,458
development_2023_2025,1.5,episode_pm1h,7,JMA_GSM,0.0061,,0.0066,0.9143,0.07642,458
development_2023_2025,1.5,episode_pm1h,8,ECMWF_HRES,0.0042,,0.0044,0.8824,0.03712,458
development_2023_2025,1.5,episode_pm2h,1,GFS_GLOBAL,0.1131,,0.2079,0.8013,1.04595,457
development_2023_2025,1.5,episode_pm2h,2,METEOFRANCE_ARPEGE_WORLD,0.1085,,0.1747,0.7772,0.78384,458
development_2023_2025,1.5,episode_pm2h,3,UKMO_GLOBAL_10KM,0.103,,0.2052,0.8288,1.19869,458
development_2023_2025,1.5,episode_pm2h,4,ICON_SEAMLESS,0.0908,,0.1376,0.7893,0.65284,458
development_2023_2025,1.5,episode_pm2h,5,CMA_GRAPES_GLOBAL,0.071,,0.1004,0.8051,0.51528,458
development_2023_2025,1.5,episode_pm2h,6,GEM_GLOBAL,0.0607,,0.0764,0.7727,0.33624,458
development_2023_2025,1.5,episode_pm2h,7,JMA_GSM,0.0144,,0.0153,0.8,0.07642,458
development_2023_2025,1.5,episode_pm2h,8,ECMWF_HRES,0.0042,,0.0044,0.8824,0.03712,458
development_2023_2025,1.5,strict_hourly,1,METEOFRANCE_ARPEGE_WORLD,0.0697,0.0997,0.1676,0.8934,1.57263,716
development_2023_2025,1.5,strict_hourly,2,GFS_GLOBAL,0.0678,0.0969,0.1589,0.8943,1.50352,711
