hourly_threshold_mm,product,model,development_rank,holdout_rank,rank_change_holdout_minus_development,development_CSI,holdout_CSI,development_FAR,holdout_FAR,development_top3,holdout_top3
20.0,cadence_aware_episode,ICON_SEAMLESS,5,5,0,0.0,0.0,,,False,False
20.0,cadence_aware_episode,JMA_GSM,6,6,0,0.0,0.0,,,False,False
20.0,cadence_aware_episode,METEOFRANCE_ARPEGE_WORLD,7,7,0,0.0,0.0,,,False,False
20.0,cadence_aware_episode,UKMO_GLOBAL_10KM,8,8,0,0.0,0.0,1.0,,False,False
20.0,complete_3h_rate_equivalent,CMA_GRAPES_GLOBAL,1,2,1,0.0,,,,True,True
20.0,complete_3h_rate_equivalent,ECMWF_HRES,2,3,1,0.0,,,,True,True
20.0,complete_3h_rate_equivalent,GEM_GLOBAL,8,1,-7,0.0,0.0,1.0,1.0,False,True
20.0,complete_3h_rate_equivalent,GFS_GLOBAL,3,4,1,0.0,,,,True,False
20.0,complete_3h_rate_equivalent,ICON_SEAMLESS,4,5,1,0.0,,,,False,False
20.0,complete_3h_rate_equivalent,JMA_GSM,5,6,1,0.0,,,,False,False
20.0,complete_3h_rate_equivalent,METEOFRANCE_ARPEGE_WORLD,6,7,1,0.0,,,,False,False
20.0,complete_3h_rate_equivalent,UKMO_GLOBAL_10KM,7,8,1,0.0,,1.0,,False,False
20.0,complete_3h_same_numeric,CMA_GRAPES_GLOBAL,7,7,0,0.0,0.0,1.0,1.0,False,False
20.0,complete_3h_same_numeric,ECMWF_HRES,2,4,2,0.0,0.0,,1.0,True,False
20.0,complete_3h_same_numeric,GEM_GLOBAL,1,8,7,0.025,0.0,0.8667,1.0,True,False
20.0,complete_3h_same_numeric,GFS_GLOBAL,6,5,-1,0.0,0.0,1.0,1.0,False,False
20.0,complete_3h_same_numeric,ICON_SEAMLESS,3,1,-2,0.0,0.0,,,True,True
20.0,complete_3h_same_numeric,JMA_GSM,4,2,-2,0.0,0.0,,,False,True
20.0,complete_3h_same_numeric,METEOFRANCE_ARPEGE_WORLD,5,3,-2,0.0,0.0,,,False,True
20.0,complete_3h_same_numeric,UKMO_GLOBAL_10KM,8,6,-2,0.0,0.0,1.0,1.0,False,False
20.0,episode_pm1h,CMA_GRAPES_GLOBAL,1,1,0,0.0,0.0,,,True,True
20.0,episode_pm1h,ECMWF_HRES,2,2,0,0.0,0.0,,,True,True
20.0,episode_pm1h,GEM_GLOBAL,3,3,0,0.0,0.0,1.0,1.0,True,True
20.0,episode_pm1h,GFS_GLOBAL,4,4,0,0.0,0.0,,1.0,False,False
20.0,episode_pm1h,ICON_SEAMLESS,5,5,0,0.0,0.0,,,False,False
20.0,episode_pm1h,JMA_GSM,6,6,0,0.0,0.0,,,False,False
20.0,episode_pm1h,METEOFRANCE_ARPEGE_WORLD,7,7,0,0.0,0.0,,,False,False
20.0,episode_pm1h,UKMO_GLOBAL_10KM,8,8,0,0.0,0.0,1.0,,False,False
20.0,episode_pm2h,CMA_GRAPES_GLOBAL,2,1,-1,0.0,0.0,,,True,True
20.0,episode_pm2h,ECMWF_HRES,3,2,-1,0.0,0.0,,,True,True
20.0,episode_pm2h,GEM_GLOBAL,1,3,2,0.0238,0.0,0.6667,1.0,True,True
20.0,episode_pm2h,GFS_GLOBAL,4,4,0,0.0,0.0,,1.0,False,False
20.0,episode_pm2h,ICON_SEAMLESS,5,5,0,0.0,0.0,,,False,False
20.0,episode_pm2h,JMA_GSM,6,6,0,0.0,0.0,,,False,False
20.0,episode_pm2h,METEOFRANCE_ARPEGE_WORLD,7,7,0,0.0,0.0,,,False,False
20.0,episode_pm2h,UKMO_GLOBAL_10KM,8,8,0,0.0,0.0,1.0,,False,False
20.0,strict_hourly,CMA_GRAPES_GLOBAL,2,1,-1,0.0,0.0,,,True,True
20.0,strict_hourly,ECMWF_HRES,3,2,-1,0.0,0.0,,,True,True
20.0,strict_hourly,GEM_GLOBAL,1,8,7,0.0185,0.0,0.9167,1.0,True,False
20.0,strict_hourly,GFS_GLOBAL,4,7,3,0.0,0.0,,1.0,False,False
20.0,strict_hourly,ICON_SEAMLESS,5,3,-2,0.0,0.0,,,False,True
20.0,strict_hourly,JMA_GSM,6,4,-2,0.0,0.0,,,False,False
20.0,strict_hourly,METEOFRANCE_ARPEGE_WORLD,7,5,-2,0.0,0.0,,,False,False
20.0,strict_hourly,UKMO_GLOBAL_10KM,8,6,-2,0.0,0.0,1.0,,False,False
