hourly_threshold_mm,product,model,development_rank,holdout_rank,rank_change_holdout_minus_development,development_CSI,holdout_CSI,development_FAR,holdout_FAR,development_top3,holdout_top3
1.0,cadence_aware_episode,METEOFRANCE_ARPEGE_WORLD,6,2,-4,0.0788,0.1189,0.8533,0.8429,False,True
1.0,cadence_aware_episode,UKMO_GLOBAL_10KM,5,3,-2,0.0827,0.109,0.8672,0.8396,False,True
1.0,complete_3h_rate_equivalent,CMA_GRAPES_GLOBAL,4,7,3,0.0727,0.0631,0.8767,0.9255,False,False
1.0,complete_3h_rate_equivalent,ECMWF_HRES,8,2,-6,0.0088,0.1197,0.875,0.8468,False,True
1.0,complete_3h_rate_equivalent,GEM_GLOBAL,3,1,-2,0.0824,0.1339,0.8406,0.8101,True,True
1.0,complete_3h_rate_equivalent,GFS_GLOBAL,1,4,3,0.1042,0.0734,0.8392,0.9085,True,False
1.0,complete_3h_rate_equivalent,ICON_SEAMLESS,5,5,0,0.0723,0.0694,0.8423,0.9124,False,False
1.0,complete_3h_rate_equivalent,JMA_GSM,7,8,1,0.0538,0.0574,0.8507,0.9136,False,False
1.0,complete_3h_rate_equivalent,METEOFRANCE_ARPEGE_WORLD,2,6,4,0.1011,0.0645,0.8392,0.9145,True,False
1.0,complete_3h_rate_equivalent,UKMO_GLOBAL_10KM,6,3,-3,0.0658,0.0916,0.882,0.8737,False,True
1.0,complete_3h_same_numeric,CMA_GRAPES_GLOBAL,6,8,2,0.1095,0.119,0.8349,0.8618,False,False
1.0,complete_3h_same_numeric,ECMWF_HRES,8,1,-7,0.0169,0.2007,0.8235,0.7672,False,True
1.0,complete_3h_same_numeric,GEM_GLOBAL,4,2,-2,0.1204,0.1632,0.8018,0.7914,False,True
1.0,complete_3h_same_numeric,GFS_GLOBAL,3,6,3,0.1391,0.1391,0.8234,0.849,True,False
1.0,complete_3h_same_numeric,ICON_SEAMLESS,1,3,2,0.1461,0.1499,0.784,0.8312,True,True
1.0,complete_3h_same_numeric,JMA_GSM,7,7,0,0.0951,0.1384,0.8331,0.8429,False,False
1.0,complete_3h_same_numeric,METEOFRANCE_ARPEGE_WORLD,2,5,3,0.1457,0.1472,0.8007,0.8304,True,False
1.0,complete_3h_same_numeric,UKMO_GLOBAL_10KM,5,4,-1,0.1123,0.1485,0.83,0.8023,False,False
1.0,episode_pm1h,CMA_GRAPES_GLOBAL,5,8,3,0.0618,0.0462,0.8595,0.9298,False,False
1.0,episode_pm1h,ECMWF_HRES,8,6,-2,0.0055,0.0797,0.8846,0.8659,False,False
1.0,episode_pm1h,GEM_GLOBAL,6,4,-2,0.0518,0.1008,0.8468,0.8125,False,False
1.0,episode_pm1h,GFS_GLOBAL,2,3,1,0.0861,0.1081,0.8649,0.8659,True,True
1.0,episode_pm1h,ICON_SEAMLESS,1,5,4,0.0869,0.0878,0.8326,0.8846,True,False
1.0,episode_pm1h,JMA_GSM,7,7,0,0.0218,0.0645,0.8488,0.8125,False,False
1.0,episode_pm1h,METEOFRANCE_ARPEGE_WORLD,4,1,-3,0.0788,0.1189,0.8533,0.8429,False,True
1.0,episode_pm1h,UKMO_GLOBAL_10KM,3,2,-1,0.0827,0.109,0.8672,0.8396,True,True
1.0,episode_pm2h,CMA_GRAPES_GLOBAL,5,7,2,0.1011,0.0647,0.7784,0.9035,False,False
1.0,episode_pm2h,ECMWF_HRES,8,6,-2,0.0073,0.1462,0.8462,0.7683,False,False
1.0,episode_pm2h,GEM_GLOBAL,6,5,-1,0.0859,0.1491,0.754,0.7344,False,False
1.0,episode_pm2h,GFS_GLOBAL,2,2,0,0.1288,0.1714,0.8054,0.7989,True,True
1.0,episode_pm2h,ICON_SEAMLESS,1,4,3,0.1375,0.1554,0.7469,0.8077,True,False
1.0,episode_pm2h,JMA_GSM,7,8,1,0.0322,0.0645,0.7791,0.8125,False,False
1.0,episode_pm2h,METEOFRANCE_ARPEGE_WORLD,4,3,-1,0.1206,0.1629,0.7838,0.7929,False,True
1.0,episode_pm2h,UKMO_GLOBAL_10KM,3,1,-2,0.1232,0.1931,0.8093,0.7358,True,True
1.0,strict_hourly,CMA_GRAPES_GLOBAL,5,8,3,0.0602,0.0506,0.9122,0.9439,False,False
1.0,strict_hourly,ECMWF_HRES,8,3,-5,0.0096,0.0723,0.9082,0.9134,False,True
1.0,strict_hourly,GEM_GLOBAL,4,1,-3,0.0737,0.0965,0.8813,0.878,False,True
1.0,strict_hourly,GFS_GLOBAL,1,6,5,0.0821,0.0575,0.892,0.9355,True,False
