split,model,native_cadence_hours,product,hourly_threshold_mm,metric_threshold,threshold_unit,verification_unit,sample_size,observed_events,forecast_events,hits,misses,false_alarms,correct_negatives,POD,FAR,CSI,HSS,frequency_bias,mean_abs_timing_error_h,mean_signed_timing_error_h,amount_MAE,amount_Bias,source_type,lead_aware,status,cadence_tolerance_hours
development_2023_2025,ECMWF_HRES,1,episode_pm1h,10.0,10.0,value per source interval,one_to_one_episode,25729,117,0,0,117,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,episode_pm2h,10.0,10.0,value per source interval,one_to_one_episode,25729,117,0,0,117,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,cadence_aware_episode,10.0,10.0,value per source interval,one_to_one_episode,25729,117,0,0,117,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,1
development_2023_2025,ECMWF_HRES,1,complete_3h_same_numeric,10.0,10.0,value/3h,complete_3h_sum,8539,159,3,0,159,3,8377,0.0,1.0,0.0,-0.0007,0.01887,,,22.137,-22.137,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,complete_3h_rate_equivalent,10.0,30.0,value/3h,complete_3h_sum,8539,31,0,0,31,0,8508,0.0,,0.0,0.0,0.0,,,46.148,-46.148,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,strict_hourly,20.0,20.0,value per source interval,sample,25729,43,0,0,43,0,25686,0.0,,0.0,0.0,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,episode_pm1h,20.0,20.0,value per source interval,one_to_one_episode,25729,40,0,0,40,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,episode_pm2h,20.0,20.0,value per source interval,one_to_one_episode,25729,40,0,0,40,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,cadence_aware_episode,20.0,20.0,value per source interval,one_to_one_episode,25729,40,0,0,40,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,1
development_2023_2025,ECMWF_HRES,1,complete_3h_same_numeric,20.0,20.0,value/3h,complete_3h_sum,8539,67,0,0,67,0,8472,0.0,,0.0,0.0,0.0,,,33.919,-33.919,continuous_historical,False,shadow_only,
development_2023_2025,ECMWF_HRES,1,complete_3h_rate_equivalent,20.0,60.0,value/3h,complete_3h_sum,8539,4,0,0,4,0,8535,0.0,,0.0,0.0,0.0,,,77.45,-77.45,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,strict_hourly,0.1,0.1,value per source interval,sample,25664,2188,5912,965,1223,4947,18529,0.441,0.8368,0.1352,0.13,2.70201,0.0,0.0,,,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,episode_pm1h,0.1,0.1,value per source interval,one_to_one_episode,25664,1115,1231,226,889,1005,,0.2027,0.8164,0.1066,,1.10404,0.673,0.009,4.396,-3.263,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,episode_pm2h,0.1,0.1,value per source interval,one_to_one_episode,25664,1115,1231,322,793,909,,0.2888,0.7384,0.1591,,1.10404,1.068,0.081,4.61,-3.472,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,cadence_aware_episode,0.1,0.1,value per source interval,one_to_one_episode,25664,1115,1231,226,889,1005,,0.2027,0.8164,0.1066,,1.10404,0.673,0.009,4.396,-3.263,continuous_historical,False,shadow_only,1
development_2023_2025,GFS_GLOBAL,1,complete_3h_same_numeric,0.1,0.1,value/3h,complete_3h_sum,8474,1407,2648,701,706,1947,5120,0.4982,0.7353,0.209,0.1646,1.88202,0.0,0.0,3.981,-2.79,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,complete_3h_rate_equivalent,0.1,0.30000000000000004,value/3h,complete_3h_sum,8474,831,2067,389,442,1678,5965,0.4681,0.8118,0.155,0.1495,2.48736,0.0,0.0,6.143,-5.222,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,strict_hourly,1.0,1.0,value per source interval,sample,25664,848,2000,216,632,1784,23032,0.2547,0.892,0.0821,0.1104,2.35849,0.0,0.0,,,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,episode_pm1h,1.0,1.0,value per source interval,one_to_one_episode,25664,522,740,100,422,640,,0.1916,0.8649,0.0861,,1.41762,0.66,0.02,7.534,-7.028,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,episode_pm2h,1.0,1.0,value per source interval,one_to_one_episode,25664,522,740,144,378,596,,0.2759,0.8054,0.1288,,1.41762,1.069,0.208,7.59,-7.104,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,cadence_aware_episode,1.0,1.0,value per source interval,one_to_one_episode,25664,522,740,100,422,640,,0.1916,0.8649,0.0861,,1.41762,0.66,0.02,7.534,-7.028,continuous_historical,False,shadow_only,1
development_2023_2025,GFS_GLOBAL,1,complete_3h_same_numeric,1.0,1.0,value/3h,complete_3h_sum,8474,644,1444,255,389,1189,6641,0.396,0.8234,0.1391,0.1555,2.24224,0.0,0.0,7.584,-6.89,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,complete_3h_rate_equivalent,1.0,3.0,value/3h,complete_3h_sum,8474,420,597,96,324,501,7553,0.2286,0.8392,0.1042,0.1387,1.42143,0.0,0.0,10.671,-10.428,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,strict_hourly,1.5,1.5,value per source interval,sample,25664,711,1069,113,598,956,23997,0.1589,0.8943,0.0678,0.0969,1.50352,0.0,0.0,,,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,episode_pm1h,1.5,1.5,value per source interval,one_to_one_episode,25664,457,478,66,391,412,,0.1444,0.8619,0.0759,,1.04595,0.652,0.106,8.274,-7.817,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,episode_pm2h,1.5,1.5,value per source interval,one_to_one_episode,25664,457,478,95,362,383,,0.2079,0.8013,0.1131,,1.04595,1.063,0.263,8.367,-7.969,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,cadence_aware_episode,1.5,1.5,value per source interval,one_to_one_episode,25664,457,478,66,391,412,,0.1444,0.8619,0.0759,,1.04595,0.652,0.106,8.274,-7.817,continuous_historical,False,shadow_only,1
development_2023_2025,GFS_GLOBAL,1,complete_3h_same_numeric,1.5,1.5,value/3h,complete_3h_sum,8474,559,1152,202,357,950,6965,0.3614,0.8247,0.1339,0.1616,2.06082,0.0,0.0,8.505,-7.946,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,complete_3h_rate_equivalent,1.5,4.5,value/3h,complete_3h_sum,8474,332,273,40,292,233,7909,0.1205,0.8535,0.0708,0.1004,0.82229,0.0,0.0,12.734,-12.574,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,strict_hourly,5.0,5.0,value per source interval,sample,25664,338,9,0,338,9,25317,0.0,1.0,0.0,-0.0007,0.02663,,,,,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,episode_pm1h,5.0,5.0,value per source interval,one_to_one_episode,25664,274,5,1,273,4,,0.0036,0.8,0.0036,,0.01825,1.0,1.0,6.3,6.3,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,episode_pm2h,5.0,5.0,value per source interval,one_to_one_episode,25664,274,5,1,273,4,,0.0036,0.8,0.0036,,0.01825,1.0,1.0,6.3,6.3,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,cadence_aware_episode,5.0,5.0,value per source interval,one_to_one_episode,25664,274,5,1,273,4,,0.0036,0.8,0.0036,,0.01825,1.0,1.0,6.3,6.3,continuous_historical,False,shadow_only,1
development_2023_2025,GFS_GLOBAL,1,complete_3h_same_numeric,5.0,5.0,value/3h,complete_3h_sum,8474,317,215,28,289,187,7970,0.0883,0.8698,0.0556,0.0774,0.67823,0.0,0.0,13.218,-13.09,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,complete_3h_rate_equivalent,5.0,15.0,value/3h,complete_3h_sum,8474,97,5,0,97,5,8372,0.0,1.0,0.0,-0.0011,0.05155,,,26.222,-26.222,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,strict_hourly,10.0,10.0,value per source interval,sample,25664,143,4,0,143,4,25517,0.0,1.0,0.0,-0.0003,0.02797,,,,,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,episode_pm1h,10.0,10.0,value per source interval,one_to_one_episode,25664,117,3,0,117,3,,0.0,1.0,0.0,,0.02564,,,,,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,episode_pm2h,10.0,10.0,value per source interval,one_to_one_episode,25664,117,3,0,117,3,,0.0,1.0,0.0,,0.02564,,,,,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,cadence_aware_episode,10.0,10.0,value per source interval,one_to_one_episode,25664,117,3,0,117,3,,0.0,1.0,0.0,,0.02564,,,,,continuous_historical,False,shadow_only,1
development_2023_2025,GFS_GLOBAL,1,complete_3h_same_numeric,10.0,10.0,value/3h,complete_3h_sum,8474,156,15,1,155,14,8304,0.0064,0.9333,0.0059,0.0085,0.09615,0.0,0.0,20.217,-20.217,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,complete_3h_rate_equivalent,10.0,30.0,value/3h,complete_3h_sum,8474,30,0,0,30,0,8444,0.0,,0.0,0.0,0.0,,,42.38,-42.38,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,strict_hourly,20.0,20.0,value per source interval,sample,25664,43,0,0,43,0,25621,0.0,,0.0,0.0,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,episode_pm1h,20.0,20.0,value per source interval,one_to_one_episode,25664,40,0,0,40,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,episode_pm2h,20.0,20.0,value per source interval,one_to_one_episode,25664,40,0,0,40,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,cadence_aware_episode,20.0,20.0,value per source interval,one_to_one_episode,25664,40,0,0,40,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,1
development_2023_2025,GFS_GLOBAL,1,complete_3h_same_numeric,20.0,20.0,value/3h,complete_3h_sum,8474,66,1,0,66,1,8407,0.0,1.0,0.0,-0.0002,0.01515,,,31.129,-31.129,continuous_historical,False,shadow_only,
development_2023_2025,GFS_GLOBAL,1,complete_3h_rate_equivalent,20.0,60.0,value/3h,complete_3h_sum,8474,3,0,0,3,0,8471,0.0,,0.0,0.0,0.0,,,74.267,-74.267,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,strict_hourly,0.1,0.1,value per source interval,sample,25729,2194,4522,884,1310,3638,19897,0.4029,0.8045,0.1516,0.1677,2.06108,0.0,0.0,,,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,episode_pm1h,0.1,0.1,value per source interval,one_to_one_episode,25729,1115,1182,269,846,913,,0.2413,0.7724,0.1326,,1.06009,0.632,0.067,3.667,-2.866,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,episode_pm2h,0.1,0.1,value per source interval,one_to_one_episode,25729,1115,1182,387,728,795,,0.3471,0.6726,0.2026,,1.06009,1.052,0.044,4.038,-3.249,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,cadence_aware_episode,0.1,0.1,value per source interval,one_to_one_episode,25729,1115,1182,269,846,913,,0.2413,0.7724,0.1326,,1.06009,0.632,0.067,3.667,-2.866,continuous_historical,False,shadow_only,1
development_2023_2025,ICON_SEAMLESS,1,complete_3h_same_numeric,0.1,0.1,value/3h,complete_3h_sum,8539,1420,2199,712,708,1487,5632,0.5014,0.6762,0.2449,0.2399,1.54859,0.0,0.0,4.007,-3.18,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,complete_3h_rate_equivalent,0.1,0.30000000000000004,value/3h,complete_3h_sum,8539,840,1542,383,457,1159,6540,0.456,0.7516,0.1916,0.2226,1.83571,0.0,0.0,6.36,-5.685,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,strict_hourly,1.0,1.0,value per source interval,sample,25729,853,1148,140,713,1008,23868,0.1641,0.878,0.0752,0.1059,1.34584,0.0,0.0,,,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,episode_pm1h,1.0,1.0,value per source interval,one_to_one_episode,25729,523,478,80,443,398,,0.153,0.8326,0.0869,,0.91396,0.588,0.087,6.389,-6.046,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,episode_pm2h,1.0,1.0,value per source interval,one_to_one_episode,25729,523,478,121,402,357,,0.2314,0.7469,0.1375,,0.91396,1.083,0.124,6.717,-6.372,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,cadence_aware_episode,1.0,1.0,value per source interval,one_to_one_episode,25729,523,478,80,443,398,,0.153,0.8326,0.0869,,0.91396,0.588,0.087,6.389,-6.046,continuous_historical,False,shadow_only,1
development_2023_2025,ICON_SEAMLESS,1,complete_3h_same_numeric,1.0,1.0,value/3h,complete_3h_sum,8539,652,940,203,449,737,7150,0.3113,0.784,0.1461,0.1812,1.44172,0.0,0.0,7.848,-7.504,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,complete_3h_rate_equivalent,1.0,3.0,value/3h,complete_3h_sum,8539,425,317,50,375,267,7847,0.1176,0.8423,0.0723,0.0963,0.74588,0.0,0.0,11.214,-11.13,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,strict_hourly,1.5,1.5,value per source interval,sample,25729,716,546,54,662,492,24521,0.0754,0.9011,0.0447,0.063,0.76257,0.0,0.0,,,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,episode_pm1h,1.5,1.5,value per source interval,one_to_one_episode,25729,458,299,34,424,265,,0.0742,0.8863,0.047,,0.65284,0.559,-0.147,5.712,-5.6,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,episode_pm2h,1.5,1.5,value per source interval,one_to_one_episode,25729,458,299,63,395,236,,0.1376,0.7893,0.0908,,0.65284,1.222,0.143,6.522,-6.29,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,cadence_aware_episode,1.5,1.5,value per source interval,one_to_one_episode,25729,458,299,34,424,265,,0.0742,0.8863,0.047,,0.65284,0.559,-0.147,5.712,-5.6,continuous_historical,False,shadow_only,1
development_2023_2025,ICON_SEAMLESS,1,complete_3h_same_numeric,1.5,1.5,value/3h,complete_3h_sum,8539,565,727,147,418,580,7394,0.2602,0.7978,0.1284,0.1654,1.28673,0.0,0.0,8.849,-8.64,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,complete_3h_rate_equivalent,1.5,4.5,value/3h,complete_3h_sum,8539,337,124,16,321,108,8094,0.0475,0.871,0.036,0.0492,0.36795,0.0,0.0,13.381,-13.381,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,strict_hourly,5.0,5.0,value per source interval,sample,25729,343,2,0,343,2,25384,0.0,1.0,0.0,-0.0002,0.00583,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,episode_pm1h,5.0,5.0,value per source interval,one_to_one_episode,25729,277,2,0,277,2,,0.0,1.0,0.0,,0.00722,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,episode_pm2h,5.0,5.0,value per source interval,one_to_one_episode,25729,277,2,1,276,1,,0.0036,0.5,0.0036,,0.00722,2.0,-2.0,18.4,-18.4,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,cadence_aware_episode,5.0,5.0,value per source interval,one_to_one_episode,25729,277,2,0,277,2,,0.0,1.0,0.0,,0.00722,,,,,continuous_historical,False,shadow_only,1
development_2023_2025,ICON_SEAMLESS,1,complete_3h_same_numeric,5.0,5.0,value/3h,complete_3h_sum,8539,322,85,8,314,77,8140,0.0248,0.9059,0.0201,0.0239,0.26398,0.0,0.0,13.831,-13.831,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,complete_3h_rate_equivalent,5.0,15.0,value/3h,complete_3h_sum,8539,98,0,0,98,0,8441,0.0,,0.0,0.0,0.0,,,27.312,-27.312,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,strict_hourly,10.0,10.0,value per source interval,sample,25729,143,0,0,143,0,25586,0.0,,0.0,0.0,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,episode_pm1h,10.0,10.0,value per source interval,one_to_one_episode,25729,117,0,0,117,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,episode_pm2h,10.0,10.0,value per source interval,one_to_one_episode,25729,117,0,0,117,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,cadence_aware_episode,10.0,10.0,value per source interval,one_to_one_episode,25729,117,0,0,117,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,1
development_2023_2025,ICON_SEAMLESS,1,complete_3h_same_numeric,10.0,10.0,value/3h,complete_3h_sum,8539,159,2,1,158,1,8379,0.0063,0.5,0.0063,0.012,0.01258,0.0,0.0,21.0,-21.0,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,complete_3h_rate_equivalent,10.0,30.0,value/3h,complete_3h_sum,8539,31,0,0,31,0,8508,0.0,,0.0,0.0,0.0,,,44.768,-44.768,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,strict_hourly,20.0,20.0,value per source interval,sample,25729,43,0,0,43,0,25686,0.0,,0.0,0.0,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,episode_pm1h,20.0,20.0,value per source interval,one_to_one_episode,25729,40,0,0,40,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,episode_pm2h,20.0,20.0,value per source interval,one_to_one_episode,25729,40,0,0,40,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,cadence_aware_episode,20.0,20.0,value per source interval,one_to_one_episode,25729,40,0,0,40,0,,0.0,,0.0,,0.0,,,,,continuous_historical,False,shadow_only,1
development_2023_2025,ICON_SEAMLESS,1,complete_3h_same_numeric,20.0,20.0,value/3h,complete_3h_sum,8539,67,0,0,67,0,8472,0.0,,0.0,0.0,0.0,,,32.46,-32.46,continuous_historical,False,shadow_only,
development_2023_2025,ICON_SEAMLESS,1,complete_3h_rate_equivalent,20.0,60.0,value/3h,complete_3h_sum,8539,4,0,0,4,0,8535,0.0,,0.0,0.0,0.0,,,76.55,-76.55,continuous_historical,False,shadow_only,
development_2023_2025,GEM_GLOBAL,3,strict_hourly,0.1,0.1,value per source interval,sample,25729,2194,4258,664,1530,3594,19941,0.3026,0.8441,0.1147,0.1051,1.94075,0.0,0.0,,,continuous_historical,False,shadow_only,
development_2023_2025,GEM_GLOBAL,3,episode_pm1h,0.1,0.1,value per source interval,one_to_one_episode,25729,1115,575,111,1004,464,,0.0996,0.807,0.0703,,0.5157,0.685,-0.054,4.995,-4.102,continuous_historical,False,shadow_only,
development_2023_2025,GEM_GLOBAL,3,episode_pm2h,0.1,0.1,value per source interval,one_to_one_episode,25729,1115,575,162,953,413,,0.1453,0.7183,0.106,,0.5157,1.099,-0.111,4.848,-3.84,continuous_historical,False,shadow_only,
development_2023_2025,GEM_GLOBAL,3,cadence_aware_episode,0.1,0.1,value per source interval,one_to_one_episode,25729,1115,575,162,953,413,,0.1453,0.7183,0.106,,0.5157,1.099,-0.111,4.848,-3.84,continuous_historical,False,shadow_only,2
development_2023_2025,GEM_GLOBAL,3,complete_3h_same_numeric,0.1,0.1,value/3h,complete_3h_sum,8539,1420,1415,403,1017,1012,6107,0.2838,0.7152,0.1657,0.1418,0.99648,0.0,0.0,4.205,-3.003,continuous_historical,False,shadow_only,
development_2023_2025,GEM_GLOBAL,3,complete_3h_rate_equivalent,0.1,0.30000000000000004,value/3h,complete_3h_sum,8539,840,1415,273,567,1142,6557,0.325,0.8071,0.1377,0.1354,1.68452,0.0,0.0,6.594,-5.457,continuous_historical,False,shadow_only,
development_2023_2025,GEM_GLOBAL,3,strict_hourly,1.0,1.0,value per source interval,sample,25729,853,1171,139,714,1032,23844,0.163,0.8813,0.0737,0.1029,1.3728,0.0,0.0,,,continuous_historical,False,shadow_only,
development_2023_2025,GEM_GLOBAL,3,episode_pm1h,1.0,1.0,value per source interval,one_to_one_episode,25729,523,248,38,485,210,,0.0727,0.8468,0.0518,,0.47419,0.658,-0.132,7.276,-6.708,continuous_historical,False,shadow_only,
development_2023_2025,GEM_GLOBAL,3,episode_pm2h,1.0,1.0,value per source interval,one_to_one_episode,25729,523,248,61,462,187,,0.1166,0.754,0.0859,,0.47419,1.164,-0.246,7.093,-6.644,continuous_historical,False,shadow_only,
